"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Wilkin Ramirez","Tigers (A+)","20","66","249","263","56","34","10","4","8","31","33","10","0","69","2","2","0","8","8","2",".225","5219"
"Joseph Dyche","Giants (A+)","23","47","169","183","38","30","4","3","1","23","15","10","0","37","3","0","1","6","13","4",".225","sa291534"
"Chris Westervelt","Dodgers (A+)","24","41","129","153","29","20","3","0","6","18","20","16","0","41","0","4","4","3","2","1",".225","sa254423"
"Dan DeMent","- - -","28","135","476","544","107","67","17","3","20","68","62","51","1","136","7","2","8","7","6","9",".225","sa199531"
"Eduardo Urbina","Nationals (R)","18","66","218","244","49","38","9","1","1","16","16","19","0","54","6","0","1","8","7","4",".225","sa455970"
"Cory Haggerty","White Sox (A+)","24","102","307","360","69","43","18","2","6","42","36","32","0","67","7","4","10","5","5","2",".225","sa225845"
"Rigoberto Silverio","- - -","19","51","178","196","40","35","5","0","0","15","11","13","0","30","1","0","4","1","5","2",".225","sa295114"
"Carlos Cabral","Nationals (R)","20","57","178","218","40","27","8","3","2","27","17","35","1","62","3","1","1","0","9","4",".225","sa3001564"
"Seth Dhaenens","- - -","22","52","178","199","40","37","2","1","0","19","24","16","1","33","2","1","2","5","5","8",".225","sa328613"
"Maximo Mendez","Mariners (R)","19","62","178","250","40","24","7","3","6","45","27","54","1","62","8","2","8","0","24","8",".225","sa392884"
"John-Ford Griffin","Blue Jays (AAA)","26","60","227","249","51","26","19","0","6","30","22","19","1","59","2","1","0","4","2","0",".225","2182"
"Einar Diaz","- - -","33","66","227","249","51","33","15","0","3","22","31","14","0","24","1","1","6","10","0","1",".225","378"
"Davy Gregg","Cubs (A)","23","119","414","456","93","80","11","2","0","60","19","26","1","100","4","2","10","3","27","19",".225","sa290638"
"Jonathan Requena","Twins/Blue Jays (R)","20","51","187","210","42","38","4","0","0","19","20","10","0","21","8","2","3","3","4","7",".225","sa3001263"
"Blake Parker","- - -","21","46","147","171","33","17","13","1","2","17","18","20","0","35","2","0","2","3","0","1",".224","5224"
"Francisco Mojica","Nationals (R)","19","53","147","177","33","22","9","0","2","21","15","19","0","47","9","1","1","1","6","4",".224","sa3000399"
"Jordan Swaydan","Brewers (R)","22","32","98","108","22","20","2","0","0","5","7","9","0","20","0","1","0","3","0","0",".224","sa327870"
"Santo Guzman","Phillies (R)","18","58","205","230","46","31","11","3","1","19","24","12","2","43","9","4","0","2","7","3",".224","sa3001442"
"Darrell Sales","Angels (R)","20","46","156","177","35","25","8","2","0","27","19","15","0","44","3","1","2","5","1","2",".224","sa291725"
"Hector Mercedes","Mariners (R)","18","53","156","185","35","22","10","0","3","13","28","22","1","54","1","5","1","2","2","2",".224","sa3001490"
"Sandy Martinez","Mets (AAA)","35","85","272","304","61","40","10","0","11","31","39","28","2","65","0","2","2","7","1","0",".224","784"
"Jose Guadalupe Chavez","- - -","21","45","165","188","37","29","6","0","2","23","17","20","1","27","0","3","0","2","4","3",".224","sa288775"
"Steve Mortimer","Nationals (A+)","25","60","174","201","39","24","9","0","6","27","23","15","0","62","11","0","1","3","3","2",".224","sa253829"
"Luis Soto","- - -","20","74","299","320","67","43","16","2","6","32","38","15","1","74","2","3","1","7","1","1",".224","sa243491"
"Jorge Perez","Reds (R)","18","53","183","204","41","36","4","1","0","19","19","18","0","34","2","1","0","6","3","4",".224","sa3001573"
"Luis Castillo","Giants (R)","17","59","192","216","43","29","8","2","4","24","35","14","0","64","8","2","0","8","3","6",".224","sa3001570"
"Trevor Lawhorn","Reds (A+)","23","91","326","346","73","57","10","2","4","32","28","16","0","66","2","0","2","6","4","7",".224","sa254470"
"Steve Pyzik","Braves (A+)","25","57","201","213","45","39","6","0","0","14","11","9","0","16","1","1","1","7","1","0",".224","sa226145"
"Mario Holmann","- - -","22","99","268","327","60","52","7","1","0","37","22","51","0","59","2","2","4","6","27","10",".224","sa247444"
"Todd Balduf","Royals (R)","21","24","67","74","15","14","1","0","0","7","7","6","1","14","1","0","0","2","1","0",".224","sa328960"
"Esmele Lugo","Marlins (R)","21","48","143","171","32","19","10","1","2","20","22","20","0","67","6","0","2","2","6","2",".224","sa3001319"
"Dusty Brown","Red Sox (AA)","24","85","295","331","66","44","17","0","5","32","40","24","0","65","3","5","4","5","2","1",".224","3420"
"Ronald Pena","Pirates (R)","19","54","152","194","34","24","5","2","3","20","33","26","0","45","4","4","8","2","2","1",".224","sa392939"
"Jesus Lopez","- - -","18","95","313","356","70","51","14","2","3","41","33","34","1","59","2","2","5","11","2","1",".224","sa325096"
"Ryan Roberson","- - -","22","43","161","175","36","29","6","1","0","13","16","11","0","58","3","0","0","4","3","1",".224","sa294015"
